,gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
202,1,0,1,1,1,2,1,2,0,2,0,2,2,2,0,2,1.3525543733235932,1.569398564543129,0
203,1,0,0,1,1,0,1,0,0,0,0,2,0,0,1,1,0.446113211153677,-0.7961435771031307,0
204,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0.13176939528190787,0.46819791239745634,0
205,0,0,0,0,1,0,1,0,2,0,2,0,0,1,1,0,0.5009986393217639,0.019560609671441603,0
206,1,0,1,1,0,1,0,2,2,2,2,0,2,2,1,1,-0.31396680923467446,1.6101837738818576,0
207,1,0,0,0,1,0,1,0,0,0,0,0,2,0,0,2,0.49933544452879164,-1.285566089167874,1
208,0,0,0,0,1,0,1,2,0,2,2,2,2,0,1,2,1.3874814639760118,-0.551432321070759,1
209,1,0,1,0,1,0,1,0,2,2,2,2,2,1,1,1,1.2494362961593093,1.2839020991720287,0
210,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,-0.6283106251064436,-1.2447808798291453,1
211,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,-1.3185364641899577,-1.285566089167874,0
212,1,0,0,1,1,0,2,1,1,1,1,1,1,2,0,3,-1.5014878914169132,1.161546471155843,0
213,0,0,1,1,1,0,2,1,1,1,1,1,1,1,0,2,-1.4931719174520517,-0.14358022768347287,0
214,1,1,1,0,1,2,1,0,0,0,0,0,2,0,0,2,0.728856325958972,-0.38829148371584454,0
215,0,0,1,0,0,1,0,2,2,2,0,2,2,0,1,0,-0.20419595289850123,0.9984056338009283,0
216,1,0,1,1,0,1,0,2,2,2,2,0,0,2,0,1,-0.6532585470010285,1.6101837738818576,0
217,1,0,1,0,0,1,0,2,2,2,2,2,0,2,1,0,-0.27571332899631107,1.365472517849486,0
218,1,0,1,1,1,2,0,0,2,2,2,2,2,2,1,0,0.6423701967244113,1.3246873085107573,0
219,0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,0,0.5026618341147361,-1.0000696237967737,0
220,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0.17501245989918865,-1.1632104611516882,1
221,0,0,1,0,1,2,2,1,1,1,1,1,1,2,0,0,-1.335168412119681,1.569398564543129,0
222,1,0,1,1,1,0,2,1,1,1,1,1,1,1,1,2,-1.4865191382801624,-1.285566089167874,0
223,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,3,-0.4935918468756855,-1.1632104611516882,1
224,0,0,0,0,1,0,2,1,1,1,1,1,1,1,1,0,-1.5147934497606919,-0.8369287864418593,0
225,1,0,0,0,0,1,0,2,0,0,0,2,2,1,1,3,-0.47529670415298986,-0.34750627437711595,0
226,0,0,1,1,1,0,0,2,0,2,2,2,2,1,1,3,0.5409153143530997,-0.062009809006015625,0
227,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,3,-0.32228278319953607,-1.285566089167874,1
228,1,0,0,0,1,2,1,0,0,0,2,0,2,0,1,1,0.8319744031232563,-0.10279501834474424,0
229,0,0,1,1,1,2,0,2,2,0,2,2,2,2,1,1,0.6789604821698023,0.5905535404136423,0
230,1,0,0,0,1,2,1,2,2,0,2,2,2,2,1,1,1.4340509181792371,0.8760500057847425,0
231,1,0,0,0,1,0,1,2,2,0,2,0,2,0,1,1,0.9517244282172633,0.7129091684298281,0
232,1,0,0,0,1,0,1,2,0,0,0,0,2,0,1,3,0.6556757550681896,-1.285566089167874,1
233,0,0,0,0,1,0,2,1,1,1,1,1,1,2,0,1,-1.48485594348719,1.6101837738818576,0
234,0,0,0,0,1,2,2,1,1,1,1,1,1,0,0,2,-1.3218628537759025,-0.14358022768347287,0
235,1,0,0,0,1,2,0,0,2,0,0,0,0,0,1,3,-0.3488938998870934,-1.2447808798291453,1
236,0,0,0,0,0,1,0,0,0,0,2,0,0,2,1,3,-1.1738385172013657,-0.9184992051193165,0
237,1,0,1,0,1,2,1,0,0,0,0,0,0,0,1,2,0.274804147477528,-0.5922175304094877,0
238,0,1,0,0,1,0,1,0,2,0,0,2,2,0,1,2,1.001620272006433,-0.877713995780588,1
239,1,0,0,0,1,0,2,1,1,1,1,1,1,2,0,3,-1.5014878914169132,-0.6737879490869448,0
240,0,0,0,0,1,2,0,0,2,2,2,2,2,2,0,0,0.7222035467870825,1.6101837738818576,0
241,1,0,0,0,1,2,1,0,2,2,2,2,2,2,0,0,1.473967593210573,1.6101837738818576,0
242,0,0,1,1,1,0,0,2,0,0,2,2,2,1,1,1,0.32636318605966996,0.3458422843812705,0
243,0,1,1,0,1,0,1,2,2,2,0,0,2,0,0,2,0.9816619344907653,1.3246873085107573,0
244,0,1,0,0,1,0,0,0,2,2,0,0,0,0,1,2,-0.33558834154331485,-0.7961435771031307,0
245,1,1,0,0,1,0,1,2,0,0,0,0,0,0,0,2,0.34798471836830985,-1.1632104611516882,0
246,1,0,0,0,1,2,0,0,0,2,0,0,2,1,0,3,0.0037033962230391725,0.3458422843812705,0
247,1,1,0,0,1,0,1,0,2,0,0,0,0,0,1,2,0.31638401730183613,-0.7145731584256735,1
248,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,3,-0.5434876906648552,-1.285566089167874,1
249,1,0,0,0,1,2,1,2,2,2,0,0,2,1,1,2,1.134675855444219,0.3866274937199991,0
250,0,0,1,0,1,0,1,2,2,2,0,2,0,1,1,2,0.9517244282172633,0.7536943777685566,0
